0.000926;1.002202;11.407056
0.001016;1.002400;1.869579
0.001563;1.001341;13.772650
0.001561;1.001847;5.076902
0.584156;1.597129;5.738102
0.152055;1.120483;6.086765
0.001180;1.001048;4.738126
0.438683;3.466049;10.487738
0.000927;1.004696;13.673367
0.001017;1.000784;2.678430
0.003741;1.009598;16.724460
0.000562;1.000924;17.955126
0.023217;1.595737;2.384760
0.033792;1.019366;4.930562
0.004230;1.002597;3.599576
0.029399;1.018559;5.081088
1.174477;1.860879;8.486656
2.138316;3.900320;10.652677
1.578073;2.105199;9.987822
1.308180;1.906291;11.883238
