0.033246;1.082338;9.041319
0.009869;1.019194;2.109561
0.074262;1.082068;9.998726
0.699456;2.413099;12.697791
0.035298;1.107907;4.519550
0.040438;1.023458;4.156390
0.012534;1.017099;1.568747
0.041744;1.121635;2.610308
0.047235;1.026878;10.087989
0.292025;2.008506;10.711981
0.021256;1.014051;9.860178
0.006107;1.003936;4.741615
1.084663;1.624248;12.977391
0.000777;1.001005;11.720728
2.331435;2.861675;14.660725
0.000231;1.000513;8.011652
0.000803;1.005761;7.093815
0.000990;1.001109;14.696740
0.001373;1.002975;0.655209
0.001045;1.000858;0.565357
