0.007231;1.016158;17.425494
0.000523;1.000398;14.625364
0.000757;1.000396;15.210982
0.005737;1.059465;14.366186
0.000665;1.000574;1.658753
0.023255;1.036197;9.991078
0.019948;1.016260;1.026307
0.615276;4.464061;13.969392
0.502714;1.555407;11.842837
0.017382;1.014150;3.647766
0.013904;1.008897;12.360523
1.214275;1.762765;13.389896
0.020483;1.010825;9.128785
0.026534;1.138175;3.717609
1.315062;1.837005;13.091048
0.029687;1.035176;1.952624
0.013440;1.037282;16.613668
1.187829;1.884384;16.794523
0.027404;1.036735;7.483051
0.001598;1.001227;10.496078
